sentence_id	sentence	sentence_domain	source
00386dc1f989873b3e89ebc6af82277624dcb2bba90316fb9c151d9ea2cca972	Ancak sisteminizde kepez çıkmıyor		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
006451defb0dcc3f0c108e491b1cc4c3a655c42a4d858a86c04aeb0ddecae2d8	Dönüş sagliycakmisiniz		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
00be7e6fb8fdd091e8b7cbe09f78116e7f70ba6efff95e4745df4b9a93a2b62c	Alt yapınız fiber ıse gerek yok		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
010ee370ce28dff7af0c5d68cae6ae82ca41c7ad4ec48b03b6b771164185e0c2	Arza kaydı bıraktık		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
01374cc952c5609c0e6b43539b93941293b25a5d43bb90ab249d0ed8ac930bec	Ali Batın Okuyucu		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
016f4fe645525d13bdbe804fb38118c5dc27b2885415d7ab3ca6326ae863ee2c	Deneme opsiyonu varmi		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
019534cdfcd20ba67b1a2b39f7ba53d262a5f188ca9cf82d407471110322c20d	Destek talep ediyoruö		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
01a17e5e4d22031e49014de4d632d70a158c77ec4e56f141441efc535f32d101	Aynı şekilde kablo nettede vdsl gözüküyor fakat bazı sağlayıcılarda hiç altyapı olamadığını söylüyorlar		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
01bbda157b0d6629c446c92fc53eaa93bcb750b55760d5fad217af005b3fe83a	Daire vdsl olarak hizmet alıyor fakat port kontrolünde fiber mevcutsa geçiş sağlanır		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
01e03a6d47bc9393e7956fab6e29362f8bde36fad001ef94a4ee86bfe29481ce	Cuma günü akşam yola çıktık. Şehirdışındaydık		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
0201a65f9e2e5da8cca0430573cd4a5c6b1be06e4ef71b0e264d5e4de552c266	Alt yapi yok dediler turktelekom bize		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
025443c2e0af45a87b1fc41ea0fb7b4ee494b0691fd29a3c7df9bb605b81f9c5	Adres kontrol yapabilirmiyiz?		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
02dee74df961f2bfb2fc5c65287058c24de4caae7846f767c25d539433a12964	Arıza durumuna göre kendi saha ekibimiz ya da telekom ekipleri gelebilir efnedim		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
02ee73d874e49780de6eadcbdc16da2a86ff30593ca7554af49ce903b7e00605	Ama online işlemlere giriş yapamıyorum şifre vs sifirlanmiyor		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
02f5c12ac78778233017bf92969728860039bac3006c7ce773abc86b7188cd9c	Direkten tek parça mı geliyor kablo ?		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
02fa7519f0d254026a81223356db47b5b540cfeaf7a94e428a330db6fda380cb	Antensiz modem dedidiginiz wifi destekliyor degilmi		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
02faacaec88446c5e23fd78c7f9226496eceab40af65b039b0f175013c9fd119	Ancak il ilçe ve mahalle seçiminde		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
03043781fabfa6dd92a4914345c15ea7d8a92cd432467676d40457ce3289158d	Churn kağının boş hali yok mu		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
0332c691404ec940e4cd842de872e2edfcbddffc12ae6de81b0fe4e08c5b2d52	Alt yapı sorgulamami yaptım gibir nete geçmek istiyorum		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
033b2eeb0976773cb067b065d52ab773894fea60c99e2ccba5f321d06cbeb849	Anladım sag olun		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
0368b39043507fb80b6d4c773785e955732af056fc4cf83aab840b0b0edffed2	Aleyküm selam nasıl yardımcı olabilirim ?		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
036a9abb363348e5cb9e28cd5b551211ca077577eff525a262a96ebcf6de4e95	_internet		firmam?z veri taban?ndan bu proje bizim için önemli  Türkçe olarak 1500 saate yak?n hedefimiz var personel mesai yapacak bunun için cümleler ekliyoruz.
