clip	duration[ms]
common_voice_tr_18282107.mp3	3960
common_voice_tr_25706045.mp3	2952
common_voice_tr_39944498.mp3	2880
common_voice_tr_23872430.mp3	2064
common_voice_tr_19183335.mp3	2496
common_voice_tr_21478701.mp3	3024
common_voice_tr_30461620.mp3	2700
common_voice_tr_34433719.mp3	2556
common_voice_tr_28130286.mp3	2088
common_voice_tr_28785299.mp3	5688
common_voice_tr_30405060.mp3	3060
common_voice_tr_30402141.mp3	2700
common_voice_tr_28983966.mp3	3348
common_voice_tr_30355299.mp3	2196
common_voice_tr_38303980.mp3	2376
common_voice_tr_30384908.mp3	3096
common_voice_tr_30352719.mp3	3060
common_voice_tr_29511963.mp3	2556
common_voice_tr_21427082.mp3	3504
common_voice_tr_17358342.mp3	2520
common_voice_tr_34452159.mp3	7200
common_voice_tr_30340006.mp3	3600
common_voice_tr_24746126.mp3	4644
common_voice_tr_28924852.mp3	2088
common_voice_tr_32939696.mp3	2160
common_voice_tr_37021301.mp3	3780
common_voice_tr_25543682.mp3	3168
common_voice_tr_26666972.mp3	1332
common_voice_tr_32884063.mp3	2448
common_voice_tr_32883484.mp3	3240
common_voice_tr_32940396.mp3	4500
common_voice_tr_38171221.mp3	3096
common_voice_tr_30495580.mp3	2448
common_voice_tr_32063777.mp3	3600
common_voice_tr_27188951.mp3	2916
common_voice_tr_39948285.mp3	4428
common_voice_tr_34350890.mp3	3024
common_voice_tr_34814827.mp3	4248
common_voice_tr_21318040.mp3	4704
common_voice_tr_30405425.mp3	3348
common_voice_tr_29883212.mp3	2196
common_voice_tr_24842612.mp3	3996
common_voice_tr_26076837.mp3	6480
common_voice_tr_38031228.mp3	8388
common_voice_tr_28914377.mp3	3816
common_voice_tr_28886453.mp3	2088
common_voice_tr_21891065.mp3	3384
common_voice_tr_38387356.mp3	2448
common_voice_tr_39948301.mp3	4608
common_voice_tr_25543732.mp3	3420
common_voice_tr_21337700.mp3	2784
common_voice_tr_25341088.mp3	5076
common_voice_tr_30505133.mp3	2592
common_voice_tr_32940457.mp3	2160
common_voice_tr_20275620.mp3	4416
common_voice_tr_25021798.mp3	2376
common_voice_tr_30462675.mp3	2160
common_voice_tr_30343623.mp3	3636
common_voice_tr_17525964.mp3	4296
common_voice_tr_18901424.mp3	5496
common_voice_tr_38116336.mp3	8388
common_voice_tr_36414394.mp3	9864
common_voice_tr_39554812.mp3	9180
common_voice_tr_38079545.mp3	6768
common_voice_tr_28515927.mp3	1764
common_voice_tr_20310930.mp3	4464
common_voice_tr_17421366.mp3	5472
common_voice_tr_18351878.mp3	3384
common_voice_tr_37994103.mp3	3420
common_voice_tr_19048447.mp3	3384
common_voice_tr_36558292.mp3	5940
common_voice_tr_37940228.mp3	2340
common_voice_tr_30318816.mp3	7776
common_voice_tr_30497498.mp3	2628
common_voice_tr_21661619.mp3	4128
common_voice_tr_30318773.mp3	3240
common_voice_tr_25181103.mp3	3492
common_voice_tr_36412844.mp3	2736
common_voice_tr_18238888.mp3	3744
common_voice_tr_26534062.mp3	1476
common_voice_tr_39749566.mp3	6660
common_voice_tr_30421743.mp3	4716
common_voice_tr_37931485.mp3	2520
common_voice_tr_30402842.mp3	3708
common_voice_tr_32882223.mp3	4608
common_voice_tr_25252473.mp3	5544
common_voice_tr_21897376.mp3	3082
common_voice_tr_36433008.mp3	3636
common_voice_tr_30613597.mp3	1476
common_voice_tr_17344946.mp3	5664
common_voice_tr_36433007.mp3	2916
common_voice_tr_40688081.mp3	5616
common_voice_tr_35048331.mp3	2016
common_voice_tr_31785287.mp3	4932
common_voice_tr_17526806.mp3	2616
common_voice_tr_17814197.mp3	3216
common_voice_tr_22154345.mp3	5760
common_voice_tr_26534743.mp3	1260
common_voice_tr_38146996.mp3	3780
common_voice_tr_38092900.mp3	3816
common_voice_tr_21342075.mp3	3744
common_voice_tr_26538766.mp3	864
common_voice_tr_26533994.mp3	1116
common_voice_tr_30464204.mp3	4788
common_voice_tr_36441283.mp3	3204
common_voice_tr_17525518.mp3	4824
common_voice_tr_30368506.mp3	5040
common_voice_tr_25756670.mp3	3960
common_voice_tr_28861429.mp3	4212
common_voice_tr_35172693.mp3	9180
common_voice_tr_40109353.mp3	4716
common_voice_tr_32958781.mp3	3600
common_voice_tr_30155396.mp3	3816
common_voice_tr_38109701.mp3	3060
common_voice_tr_18731941.mp3	3984
common_voice_tr_30333323.mp3	3780
common_voice_tr_19034934.mp3	2856
common_voice_tr_29499658.mp3	3708
common_voice_tr_19183346.mp3	1944
common_voice_tr_40056925.mp3	4536
common_voice_tr_29452479.mp3	3636
common_voice_tr_17854677.mp3	3744
common_voice_tr_29762047.mp3	4896
common_voice_tr_34357175.mp3	2268
common_voice_tr_29289819.mp3	2160
common_voice_tr_25288620.mp3	3060
common_voice_tr_19820933.mp3	3048
common_voice_tr_30390225.mp3	3276
common_voice_tr_34455856.mp3	2340
common_voice_tr_22154285.mp3	2040
common_voice_tr_38215481.mp3	2988
common_voice_tr_32068835.mp3	2376
common_voice_tr_26531923.mp3	1620
common_voice_tr_39944514.mp3	7956
common_voice_tr_26544152.mp3	972
common_voice_tr_25755057.mp3	4572
common_voice_tr_30464020.mp3	1836
common_voice_tr_36413172.mp3	2628
common_voice_tr_30392004.mp3	2736
common_voice_tr_36443312.mp3	2268
common_voice_tr_27175824.mp3	5328
common_voice_tr_29417756.mp3	3312
common_voice_tr_21659702.mp3	3480
common_voice_tr_40404189.mp3	7020
common_voice_tr_32289199.mp3	9612
common_voice_tr_38374312.mp3	3780
common_voice_tr_21426994.mp3	3480
common_voice_tr_33736814.mp3	4068
common_voice_tr_26563389.mp3	5220
common_voice_tr_34484434.mp3	2340
common_voice_tr_37966172.mp3	2088
common_voice_tr_40812416.mp3	6156
common_voice_tr_25804907.mp3	4716
common_voice_tr_23721240.mp3	8784
common_voice_tr_30459195.mp3	2556
common_voice_tr_26949967.mp3	3708
common_voice_tr_34452286.mp3	2520
common_voice_tr_32304289.mp3	3816
common_voice_tr_30503780.mp3	3960
common_voice_tr_30402403.mp3	6660
common_voice_tr_21731389.mp3	5304
common_voice_tr_32135246.mp3	2772
common_voice_tr_38119761.mp3	3096
common_voice_tr_40863835.mp3	9540
common_voice_tr_32957946.mp3	3888
common_voice_tr_32925521.mp3	3096
common_voice_tr_30345274.mp3	3528
common_voice_tr_40633273.mp3	4680
common_voice_tr_38416140.mp3	2520
common_voice_tr_30375543.mp3	2988
common_voice_tr_30504105.mp3	2448
common_voice_tr_32953358.mp3	3420
common_voice_tr_30311206.mp3	4140
common_voice_tr_32876016.mp3	2880
common_voice_tr_30350882.mp3	3600
common_voice_tr_30403254.mp3	2016
